Date,Fajr,Zuhr,Asr,Maghrib,Isha
1,5:00,13:45,18:30,21:53,22:15
2,5:00,13:45,18:30,21:54,22:15
3,4:45,13:45,18:30,21:57,22:15
4,4:45,13:45,18:30,21:58,22:15
5,4:45,13:45,18:45,21:59,22:15
6,4:45,13:45,18:45,22:01,22:15
7,4:45,13:45,18:45,22:03,22:30
8,4:45,13:45,18:45,22:04,22:30
9,4:30,13:45,18:45,22:06,22:30
10,4:30,13:45,18:45,22:08,22:30
11,4:30,13:45,18:45,22:09,22:30
12,4:30,13:45,18:45,22:11,22:30
13,4:30,13:45,18:45,22:13,22:30
14,4:30,13:45,18:45,22:14,22:30
15,4:30,13:45,18:45,22:16,22:45
16,4:30,13:45,18:45,22:17,22:45
17,4:30,13:45,18:45,22:19,22:45
18,4:30,13:45,18:45,22:20,22:45
19,4:15,13:45,19:00,22:22,22:45
20,4:15,13:45,19:00,22:23,22:45
21,4:15,13:45,19:00,22:25,22:45
22,4:15,13:45,19:00,22:26,22:45
23,4:15,13:45,19:00,22:28,22:45
24,4:15,13:45,19:00,22:29,22:45
25,4:15,13:45,19:00,22:31,22:45
26,4:15,13:45,19:00,22:32,22:45
27,4:15,13:45,19:00,22:33,23:00
28,4:15,13:45,19:00,22:34,23:00
29,4:15,13:45,19:00,22:36,23:00
30,4:15,13:45,19:00,22:38,23:00
31,4:15,13:45,19:00,22:39,23:00
